"300 Let Rossiykomy","ru","Russian names from"
"K 322 Kashalot","ru",
"K 323","ru",
"K 324","ru",
"K 325","ru",
"K 328 Leopard","ru",
"K 331 Narval","ru",
"K 335 Gepard","ru",
"K 336 Pskov","ru",
"K 355","ru",
"K 358","ru",
"K 367","ru",
"K 369","ru",
"K 370","ru",
"K 371","ru",
"K 373","ru",
"K 377","ru",
"K 380","ru",
"K 385","ru",
"K 387","ru",
"K 388 Danil Moskovsky","ru",
"K 391 Bratsk","ru",
"K 398","ru",
"K 407 Novomoskovsk","ru",
"K 403","ru",
"K 410 Smolensk","ru",
"K 412 Morzh","ru",
"K 414","ru",
"K 417","ru",
"K 418","ru",
"K 419 Morzh","ru",
"K 421","ru",
"K 422","ru",
"K 423","ru",
"K 424","ru",
"K 429","ru",
"K 433","ru",
"K 438","ru",
"K 441","ru",
"K 442 Chelyabinsk","ru",
"K 448 Tambov","ru",
"K 449","ru",
"K 450","ru",
"K 452 Novgorod Veliky","ru",
"K 453","ru",
"K 454","ru",
"K 455","ru",
"K 456 Vilyuchinsk","ru",
"K 458","ru",
"K 460","ru",
"K 461 Volk","ru",
"K 462","ru",
"K 463","ru",
"K 467","ru",
"K 469","ru",
"K 472","ru",
"K 475","ru",
"K 476","ru",
"K 477","ru",
"K 479","ru",
"K 480 Ak Bars","ru",
"K 481","ru",
"K 487","ru",
"K 488","ru",
"K 490","ru",
"K 492","ru",
"K 493","ru",
"K 495","ru",
"K 496","ru",
"K 497","ru",
"K 500","ru",
"K 502","ru",
"K 503","ru",
"K 506","ru",
"K 507","ru",
"K 508","ru",
"K 512","ru",
"K 513","ru",
"K 517","ru",
"K 523","ru",
"K 524","ru",
"K 525 Arkhangelsk","ru",
"K 526 Tomsk","ru",
"K 527","ru",
"K 530","ru",
"K 534 Nizhny Novgorod","ru",
"KS 403 Kazan","ru",
"KS 411","ru",
"Karp (K 239)","ru",
"Kasatka (K 456)","ru",
"Kashalot (K 322)","ru",
"Kedrov","ru",
"Kerch","ru",
"Khabarovsk","ru",
"Kiev","ru",
"Kil'din","ru",
"Kit (K 391)","ru",
"Komsomolets (K 278)","ru",
"Komsomolets Mordovy","ru",
"Komsomolets Ukrainy","ru",
"Kondor","ru",
"Konstantin Olshansky","ru",
"Korolev","ru",
"Krab (K 276)","ru",
"Krasny-Kavkaz","ru",
"Krashy-Krym","ru",
"Kronshtadt","ru",
"Kuguar","ru",
"Kursk","ru",
"Ladny","ru",
